Precio,Marca,Modelo,Potencia,Version,Puertas,Combustible,Plazas,Co2,Color,Año,Km,Cambio,
8.990,PEUGEOT,Partner,92 cv,Tepee Office 1.6 HDi 92cv,5 p,Diesel,5,135 gr/km ,Gris / Plata  metalizado,2014,69000,Manual,
59.990,BMW,Serie 2,370 cv,M2,2 p,Gasolina,4,199 gr/km ,Blanco  metalizado,2017,24000,Automático,
8.990,RENAULT,Kangoo Combi,75 cv,Profesional M1AF Energy dCi 75 Euro 6,4 p,Diesel,5,112 gr/km ,Blanco  metalizado,2016,29000,Manual,
8.490,FORD,Focus,125 cv,1.0 EcoBoost ASS 125cv Edition,5 p,Gasolina,5,114 gr/km ,Blanco  metalizado,2014,89000,Manual,
6.690,HYUNDAI,i10,66 cv,1.0 Tecno Blue,5 p,Gasolina,5,108 gr/km ,Azul  metalizado,2015,24000,Manual,
6.690,HYUNDAI,i10,66 cv,1.0 Tecno Plus,5 p,Gasolina,5,108 gr/km ,Amarillo  metalizado,2016,29000,Manual,
13.490,RENAULT,Kangoo Combi,115 cv,Extrem M1AC TCE 85kW 115CV Auto. E6,5 p,Gasolina,5,144 gr/km ,Azul  metalizado,2017,24000,Manual,
10.490,RENAULT,Clio,90 cv,Zen Energy TCe 90,5 p,Gasolina,5,105 gr/km ,Beige  metalizado,2016,39000,Manual,
13.990,MAZDA,CX-3,120 cv,2.0 SKYACTIV GE Style Nav 2WD,5 p,Gasolina,5,137 gr/km ,Blanco  metalizado,2016,29000,Automático,
4.990,PEUGEOT,207,95 cv,Confort 1.4 VTi 16v 95,5 p,Gasolina,5,135 gr/km ,Blanco  metalizado,2010,119000,Manual,
23.990,BMW,X3,184 cv,xDrive20d,5 p,Diesel,5,149 gr/km ,Blanco  metalizado,2011,104000,Automático,
20.990,MERCEDES-BENZ,Vito,114 cv,111 BT Tourer Base Larga,4 p,Diesel,8,163 gr/km ,Blanco  metalizado,2016,24000,Manual,
11.990,NISSAN,QASHQAI,110 cv,1.5 dCi ACENTA 4x2,5 p,Diesel,5,137 gr/km ,Marrón  metalizado,2011,92000,Manual,
5.990,FIAT,Qubo,77 cv,Active 1.4 5 Plazas,5 p,Gasolina,5,161 gr/km ,Azul  metalizado,2014,68000,Manual,
5.990,FIAT,Qubo,77 cv,Active 1.4 5 Plazas,5 p,Gasolina,5,161 gr/km ,Naranja  metalizado,2014,49000,Manual,
5.990,FIAT,Qubo,77 cv,Active 1.4 5 Plazas,5 p,Gasolina,5,161 gr/km ,Blanco  metalizado,2014,49000,Manual,
40.990,BMW,Serie 4,245 cv,428i,2 p,Gasolina,4,159 gr/km ,Gris / Plata  metalizado,2014,39000,Automático,
8.990,SMART,Fortwo,98 cv,Coupe Brabus,3 p,Gasolina,2,124 gr/km ,Negro  metalizado,2008,108000,Automático,
